Glass,Al2O3,B2O3,BaO,CaO,Ce2O3,Cl,Cr2O3,Cs2O,F,Fe2O3,HfO2,K2O,La2O3,Li2O,MgO,MnO2,MoO3,Na2O,NiO,Nd2O3,P2O5,Pr2O3,RuO2,SO3,SiO2,SrO,SnO2,TeO2,TiO2,V2O5,Y2O3,ZnO,ZrO2,Temprature,pH,ln_rate
B6A4,6.800,9.000,0.000,6.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,12.700,0.000,0.000,0.000,0.000,0.000,0.000,65.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.517
CaEM,3.097,17.369,0.000,8.026,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,9.799,0.000,0.000,0.000,0.000,0.000,0.000,60.596,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,7.0,0.846
Mg25Ca75,3.260,17.341,0.000,6.313,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,0.000,0.000,10.100,0.000,0.000,0.000,0.000,0.000,0.000,59.709,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,7.0,0.956
Mg50Ca50,3.211,17.383,0.000,4.134,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.045,0.000,0.000,9.670,0.000,0.000,0.000,0.000,0.000,0.000,60.420,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,7.0,0.932
Mg75Ca25,3.202,18.827,0.000,2.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,5.636,0.000,0.000,9.839,0.000,0.000,0.000,0.000,0.000,0.000,59.311,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,7.0,0.884
MgEM,3.203,18.818,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8.708,0.000,0.000,10.043,0.000,0.000,0.000,0.000,0.000,0.000,58.106,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,7.0,0.798
SM513LW11-1,3.610,13.080,0.000,4.540,0.000,0.000,0.000,0.000,0.000,1.700,0.000,0.000,0.000,4.190,2.050,0.000,0.000,9.120,0.000,0.000,0.000,0.000,0.000,0.000,52.150,0.000,0.000,0.000,4.540,0.000,0.000,0.000,0.000,30.0,9.0,-3.912
SM513LW11-2,3.610,13.080,0.000,4.540,0.000,0.000,0.000,0.000,0.000,1.700,0.000,0.000,0.000,4.190,2.050,0.000,0.000,9.120,0.000,0.000,0.000,0.000,0.000,0.000,52.150,0.000,0.000,0.000,4.540,0.000,0.000,0.000,0.000,30.0,11.5,-1.966
SM513LW11-3,3.610,13.080,0.000,4.540,0.000,0.000,0.000,0.000,0.000,1.700,0.000,0.000,0.000,4.190,2.050,0.000,0.000,9.120,0.000,0.000,0.000,0.000,0.000,0.000,52.150,0.000,0.000,0.000,4.540,0.000,0.000,0.000,0.000,30.0,13.0,-1.050
SM513LW11-4,3.610,13.080,0.000,4.540,0.000,0.000,0.000,0.000,0.000,1.700,0.000,0.000,0.000,4.190,2.050,0.000,0.000,9.120,0.000,0.000,0.000,0.000,0.000,0.000,52.150,0.000,0.000,0.000,4.540,0.000,0.000,0.000,0.000,30.0,14.0,0.470
SM539HE540-1,20.237,25.575,0.000,5.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.491,0.000,0.000,0.000,8.773,0.000,0.000,0.000,0.000,0.000,0.000,35.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.0,9.0,-3.507
SM539HE540-2,20.237,25.575,0.000,5.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.491,0.000,0.000,0.000,8.773,0.000,0.000,0.000,0.000,0.000,0.000,35.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.0,11.5,-1.715
SM539HE540-3,20.237,25.575,0.000,5.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.491,0.000,0.000,0.000,8.773,0.000,0.000,0.000,0.000,0.000,0.000,35.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.0,13.0,-0.892
SM539HE540-4,20.237,25.575,0.000,5.045,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.491,0.000,0.000,0.000,8.773,0.000,0.000,0.000,0.000,0.000,0.000,35.273,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.0,14.0,-0.777
SON68-1,4.910,14.020,0.000,4.040,0.000,0.000,0.000,0.000,0.000,2.910,0.000,0.000,0.000,1.980,0.000,0.000,1.700,9.860,0.000,1.590,0.000,0.000,0.000,0.000,45.480,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.650,30.0,9.0,-4.605
SON68-2,4.910,14.020,0.000,4.040,0.000,0.000,0.000,0.000,0.000,2.910,0.000,0.000,0.000,1.980,0.000,0.000,1.700,9.860,0.000,1.590,0.000,0.000,0.000,0.000,45.480,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.650,30.0,11.5,-2.659
SON68-3,4.910,14.020,0.000,4.040,0.000,0.000,0.000,0.000,0.000,2.910,0.000,0.000,0.000,1.980,0.000,0.000,1.700,9.860,0.000,1.590,0.000,0.000,0.000,0.000,45.480,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.650,30.0,13.0,-1.772
SON68-4,4.910,14.020,0.000,4.040,0.000,0.000,0.000,0.000,0.000,2.910,0.000,0.000,0.000,1.980,0.000,0.000,1.700,9.860,0.000,1.590,0.000,0.000,0.000,0.000,45.480,0.000,0.000,0.000,0.000,0.000,0.000,2.500,2.650,30.0,14.0,-1.050
N26M0,7.700,14.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26.100,0.000,0.000,0.000,0.000,0.000,0.000,51.300,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,90.0,9.0,1.099
