Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Température,Ph_Final,V0_B_ou_r0_B
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,8.0,0.005
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,7.9,0.051
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,7.6,0.395
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,10.0,0.027
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,9.8,0.106
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,9.3,2.548
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,23,12.0,0.489
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,40,11.5,2.16
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0,0.1,0,0.47,0,0.07,0,0,0,0,0,0,0,0.06,0.02,0.39,0,0.28,0,0.07,0,0,0,0,0,0,0,0.03,0,0.23,0.16,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,0.06,0.21,0.45,0,0,0,0,0,0,0,70,10.7,12.059
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0,0.12,0,0.52,0,0.13,0,0,0,0,0,0,0,0.07,0.02,0.46,0,0.35,0,0.08,0,0,0,0,0,0,0,0.04,0,0.29,0.18,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16,0.06,0.22,0.51,0,0,0,0,0,0,0,23,8.0,0.005
