B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Ni,Zn,Sr,Zr,Sn,Sb,Ce,Température,ph,Ln(V0)
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,23,8.0,-5.298317367
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,40,7.9,-2.975929646
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,70,7.6,-0.9288695141
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,23,10.0,-3.611918413
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,40,9.8,-2.244316185
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,70,9.3,0.9353087377
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,23,12.0,-0.7153927895
10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0.07,0,0.06,0.39,0,0,0.14,40,11.5,0.7701082217
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,23,8.0,-5.298317367
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,40,7.9,-3.816712826
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,70,7.6,-0.9969586349
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,23,10.0,-3.729701449
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,40,9.8,-1.666008264
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,70,9.3,0.4510756194
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,23,12.0,-0.6236211179
10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0.13,0,0.07,0.46,0,0,0.16,40,11.5,0.9719146356
9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0.51,0,0,0,90,9.0,1.335001067
