Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Sr,Y,Zr,Mo,Ru,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,S_autres_TR,Th,U,Température,ph,V0_B_ou_r0_B
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,8.0,0.005
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,7.9,0.051
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,70,7.6,0.395
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,10.0,0.027
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,9.8,0.106
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,70,9.3,2.548
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,12.0,0.489
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,11.5,2.16
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,23,8.0,0.005
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,40,7.9,0.022
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,70,7.6,0.369
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,23,10.0,0.024
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,40,9.8,0.189
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,70,9.3,1.57
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,23,12.0,0.536
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,40,11.5,2.643
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.8
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.6
0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,9.0,3.7
0,10.38,61.2,3.16,0,8.47,12.84,0,0,1.07,0,0,0,0,0,0,0,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0,2.31,0,0,0,100,6.75,0.8
0,10.76,59.4,10.76,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,80,6.4,2.88
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,8.9,1.94
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.3,2.15
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.4,2.94
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.2,1.79
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.1,1.58
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.4,1.61
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,8.8,1.82
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.2,2.38
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,9.0,2.43
21.35,0,49.6,0,0,0,0,1.12,0,11.38,0,0,0.55,0,0,4.9,0.52,0.28,2.2,1.51,0.76,0.04,0.04,0.02,0,0.23,1.25,0.63,0.9,0,0.44,1.55,0.53,0.19,0.03,50,8.6,3.06
