Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,Cr,Mn,Fe,Ni,Zn,Sr,Y,Zr,Mo,Ru,Ag,Cd,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,S_autres_TR,Th,U,Température,Poh,Ln(V0)
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,6.044681749,-5.298317367
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,5.574956091,-2.975929646
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,70,5.007263587,-0.9288695141
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,4.044681749,-3.611918413
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,3.674956091,-2.244316185
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,70,3.307263587,0.9353087377
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,23,2.044681749,-0.7153927895
6.4,10.45,58.43,5.21,0.66,0.73,15.3,0,0,0,0,0.1,0,0.47,0.07,0,0.06,0.02,0.39,0.28,0.07,0,0,0,0,0.03,0.23,0.16,0.08,0.14,0.06,0.21,0.45,0,0,40,1.974956091,0.7701082217
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,23,6.044681749,-5.298317367
5.9,10.35,58.61,5.07,0.83,0.94,14.99,0,0,0,0,0.12,0,0.52,0.13,0,0.07,0.02,0.46,0.35,0.08,0,0,0,0,0.04,0.29,0.18,0.09,0.16,0.06,0.22,0.51,0,0,40,5.574956091,-3.816712826
