Var1,Var2,Correlation
Fe,Cr,0.9553097796207316
Ni,Cr,0.9998656334490259
Ni,Fe,0.9547379095163117
Sr,P,0.994264384231814
Ru,Y,0.9994781064687113
Ag,Cr,0.987565166179858
Ag,Ni,0.9868605891308662
Cd,Y,0.9808715493915259
Cd,Ru,0.9745218293315886
Sb,Cr,0.9981865749068012
Sb,Fe,0.9569284930925146
Sb,Ni,0.9975372377611554
Sb,Ag,0.9898740425654445
Te,Y,0.9988864489098792
Te,Ru,0.9990208229650421
Te,Cd,0.9791842388405807
Cs,Y,0.996636786241122
Cs,Ru,0.996391420640931
Cs,Cd,0.9818591947061365
Cs,Te,0.9991579558116378
Ba,Y,0.9926391172582948
Ba,Ru,0.9950171469404989
Ba,Cd,0.9630356083864202
Ba,Te,0.9967113127758597
Ba,Cs,0.9966078655569087
La,Y,0.999867011407049
La,Ru,0.9992947301808576
La,Cd,0.9821918802154007
La,Te,0.9994129883848845
La,Cs,0.9978118398946725
La,Ba,0.9936558595804521
Pr,Y,0.9992738529021831
Pr,Ru,0.9989319016624657
Pr,Cd,0.9817398905508389
Pr,Te,0.99982803104006
Pr,Cs,0.9989896430435136
Pr,Ba,0.9954859293774042
Pr,La,0.9997287817706103
Th,Mn,0.9900655280643132
Th,Y,0.9633185673497382
Th,Ru,0.9693617640452437
Th,Te,0.9589006496612481
Th,Ba,0.9602430265804757
Th,La,0.9600244362482168
Th,Pr,0.9571950485080702
U,Cr,0.9974112824430064
U,Fe,0.9541607822758791
U,Ni,0.9967467104764456
U,Ag,0.9943370265985348
U,Sb,0.9993536575821721
