,count,mean,std,min,25%,50%,75%,max
Li,367.0,4.1121798365122615,6.1573243639393995,0.0,0.0,0.0,6.055,21.35
B,367.0,7.977602179836512,6.444873442380483,0.0,4.5,5.88,10.415,26.26
O,367.0,45.04978201634877,23.58206746583688,0.0,49.6,56.4,58.33,62.32
Na,367.0,12.35547683923706,9.887300389556017,0.0,5.07,12.55,16.23,35.7
Mg,367.0,0.5726158038147139,0.5566146915340308,0.0,0.0,0.53,1.04,2.1
Al,367.0,3.547983651226158,2.3259969998793713,0.0,2.36,3.61,4.21,9.47
Si,367.0,18.442343324250682,10.131209097265579,0.0,14.1,15.69,19.62,40.02
P,367.0,0.07324250681198911,0.2772663266484992,0.0,0.0,0.0,0.0,1.12
K,367.0,0.5347138964577657,1.3243921638674345,0.0,0.0,0.06,0.24,6.0
Ca,367.0,2.658583106267031,3.244973777633346,0.0,0.73,1.79,2.36,11.38
Ti,367.0,0.18155313351498636,0.43744356299183984,0.0,0.0,0.0,0.09,1.81
V,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cr,367.0,0.0764032697547684,0.38798925509063037,0.0,0.0,0.0,0.0,2.18
Mn,367.0,0.0508174386920981,0.15093836516132927,0.0,0.0,0.0,0.0,0.55
Fe,367.0,0.854032697547684,2.129015544843386,0.0,0.0,0.26,1.16,11.92
Co,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ni,367.0,0.0632425068119891,0.31869200497538175,0.0,0.0,0.0,0.0,1.79
Cu,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zn,367.0,0.9283106267029975,1.2241360872378617,0.0,0.0,0.76,0.96,4.9
Ga,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ge,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
As,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Se,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sr,367.0,0.037029972752043595,0.1286676435128806,0.0,0.0,0.0,0.0,0.52
Y,367.0,0.034604904632152586,0.10583673516977922,0.0,0.0,0.0,0.0,0.47
Zr,367.0,0.914359673024523,0.7136292690675167,0.0,0.49,0.52,1.17,2.36
Nb,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mo,367.0,0.22833787465940059,0.44792565647161275,0.0,0.0,0.0,0.21,1.51
Tc,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ru,367.0,0.09275204359673027,0.27841825102288625,0.0,0.0,0.0,0.0,1.21
Rh,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pd,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ag,367.0,0.015367847411444143,0.06967773869319682,0.0,0.0,0.0,0.0,0.39
Cd,367.0,0.005885558583106267,0.01995125161860481,0.0,0.0,0.0,0.0,0.1
In,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sn,367.0,0.10743869209809265,0.23517109438756112,0.0,0.0,0.0,0.06,0.92
Sb,367.0,0.0009809264305177111,0.005342597781224951,0.0,0.0,0.0,0.0,0.03
Te,367.0,0.029427792915531336,0.08744365612172873,0.0,0.0,0.0,0.0,0.39
I,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cs,367.0,0.16743869209809265,0.4935125367843375,0.0,0.0,0.0,0.0,2.25
Ba,367.0,0.08147138964577656,0.22991567383583486,0.0,0.0,0.0,0.0,0.99
La,367.0,0.1131607629427793,0.3440506599300799,0.0,0.0,0.0,0.0,1.54
Hf,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ta,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Re,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Os,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ir,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pt,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Au,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hg,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tl,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pb,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bi,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Po,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
At,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rn,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ce,367.0,0.006975476839237059,0.03176685815048252,0.0,0.0,0.0,0.0,0.16
Pr,367.0,0.05640326975476839,0.1691448462285296,0.0,0.0,0.0,0.0,0.76
Nd,367.0,0.24989100817438695,0.5984675229838853,0.0,0.0,0.0,0.0,2.47
S_autres_TR,367.0,0.16446866485013623,0.30446796465599535,0.0,0.0,0.03,0.19,1.48
Th,367.0,0.018637602179836513,0.05659072702741662,0.0,0.0,0.0,0.0,0.19
U,367.0,0.03989100817438692,0.20635263229082487,0.0,0.0,0.0,0.0,1.16
Pu,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Np,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Am,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cm,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S_autres_An,367.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Température,367.0,56.77711171662124,25.19064726575745,20.0,40.0,50.0,84.9,100.0
Ph_Final,367.0,9.44065395095368,1.333640855641218,5.9,8.6,9.2,10.4,12.1
V0_B_ou_r0_B,367.0,0.540191029972752,1.6614659892659405,-2.95,0.003058,0.1072,1.0882399999999999,12.0226
