Type Document,Titre,Référence,Premier Auteur,Type de verre,Li,B,O,Na,Mg,Al,Si,P,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,I,Cs,Ba,La,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Po,At,Rn,Ce,Pr,Nd,S_autres_TR,Th,U,Pu,Np,Am,Cm,S_autres_An,Somme,Densité,Homogénéité,B_IV,Irradié,Caractéristiques_si_irradié,Température,Statique_dynamique,Plage_granulométrique_si_poudre,Surface_spécifique_géométrique_si_poudre,Surface_spécifique_BET_si_poudre,Qualité_de_polissage_si_monolithe,Masse_du_verre,Surface_du_verre_S,Volume_de_la_solution_V,Débit_de_la_solution,pH_initial_T_amb,pH_initial_T_essai,Composition_de_la_solution,Durée_de_l_expérience,pH_final_T_amb,pH_final_T_essai,Normalisation_de_la_vitesse_Sgeo_ou_SBET,V0_Si_ou_r0_Si,r2_Si,Ordonnée_à_l_origine_Si,V0_B_ou_r0_B,Ordonnée_à_l_origine_B,V0_Na_ou_r0_Na,r2_Na,Ordonnée_à_l_origine_Na,V0_ΔM_ou_r0_ΔM,Congruence
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS14/18_test1,0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.451,homogeneous,66,Not available,Not available,90,static,100-125,Not available,Not available,Not available,0.095,19.9,0.231,Not available,Not available,9,DI water + LiOH,5.5,Not available,9.0,Sgeo,12.0,0.999,0.2,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS14/18_test2,0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.451,homogeneous,66,Not available,Not available,90,static,100-125,Not available,Not available,Not available,0.2,42.0,0.488,Not available,Not available,9,DI water + LiOH,5.1,Not available,8.9,Sgeo,17.7,0.989,0.1,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS14/18_test3,0,10.71,60.65,8.45,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.451,homogeneous,66,Not available,Not available,90,static,63-125,Not available,Not available,Not available,0.197,51.2,0.488,Not available,Not available,9,DI water + LiOH,5.1,Not available,9.0,Sgeo,12.2,0.999,0.1,Not available,Not available,Not available,Not available,Not available,Not available,n.d.
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSA,0,10.09,60.59,7.99,0,2.39,18.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.405,homogeneous,48,Not available,Not available,90,static,100-125,Not available,Not available,Not available,0.198,41.6,0.49,Not available,Not available,9,DI water + LiOH,10.6,Not available,8.9,Sgeo,2.6,0.997,-0.02,Not available,Not available,Not available,Not available,Not available,Not available,1.1 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSAC,0,9.74,60.25,7.65,0,2.33,18.29,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.471,homogeneous,53,Not available,Not available,90,Static,100-125,210,Not available,Not available,0.2,42.0,0.496,Not available,Not available,9,deionized water + LiOH,5.5,Not available,8.9,Sgeo,9.9,0.986,-0.08,Not available,Not available,Not available,Not available,Not available,Not available,1.0 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSACZ,0,9.58,60.32,7.61,0,2.28,18.0,0,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.01,2.5,homogeneous,48,Not available,Not available,90,Static,40-63,470,Not available,Not available,0.08,37.6,0.496,Not available,Not available,9,deionized water + LiOH,5.7,Not available,9.0,Sgeo,8.2,0.99,0.2,Not available,Not available,Not available,Not available,Not available,Not available,1.1 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSAZ,0,9.94,60.7,7.84,0,2.34,18.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.505,homogeneous,41,Not available,Not available,90,static mode,100-125,Not available,Not available,Not available,0.207,43.4,0.497,Not available,Not available,9,deionized water,10.6,Not available,8.9,Sgeo,2.2,0.997,0.04,Not available,Not available,Not available,Not available,Not available,Not available,1.0 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSC,0,10.37,60.24,8.17,0,0,19.39,0,0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.505,homogeneous,66,Not available,Not available,90,static mode,100-125,Not available,Not available,Not available,0.106,22.2,1.0,Not available,Not available,9,deionized water,5.5,Not available,8.9,Sgeo,52.2,1.0,0.4,Not available,Not available,Not available,Not available,Not available,Not available,1.0 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBSCZ,0,10.2,60.37,8.0,0,0,19.08,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,2.547,homogeneous,63,Not available,Not available,90,static mode,100-125,Not available,Not available,Not available,0.103,21.6,0.999,Not available,Not available,9,Deionized water + LiOH,5.5,Not available,8.9,Sgeo,56.4,0.999,0.8,Not available,Not available,Not available,Not available,Not available,Not available,1.1 ± 0.1
Article,Can a simple topological-constraints-based model predict the initial dissolution rate of borosilicate and aluminosilicate glasses?,npj Materials Degradation (2020) 4:6 ; https://doi.org/10.1038/s41529-020-0111-4,Stéphane Gin,NBS12/28_test1,0,15.61,60.79,6.54,0,0,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,2.462,homogeneous,43,Not available,Not available,90,static mode,Not available,Not available,Not available,0.05 µm,1.292,5.08,0.485,Not available,Not available,9,Deionized water + LiOH,2.4,Not available,8.9,Sgeo,192,1.0,0.4,Not available,Not available,Not available,Not available,Not available,223.0,1.1 ± 0.1
